id,name,value,category
150,User150,49,C
151,User151,78,B
152,User152,45,A
153,User153,21,C
154,User154,27,B
155,User155,36,B
156,User156,14,A
157,User157,6,B
158,User158,2,A
159,User159,16,B
160,User160,31,A
161,User161,38,C
162,User162,56,C
163,User163,29,A
164,User164,36,A
165,User165,38,A
166,User166,78,C
167,User167,1,B
168,User168,97,A
169,User169,46,A
170,User170,39,C
171,User171,51,B
172,User172,10,B
173,User173,90,C
174,User174,50,A
175,User175,28,C
176,User176,98,A
177,User177,29,A
178,User178,95,A
179,User179,53,C
180,User180,63,B
181,User181,0,C
182,User182,56,B
183,User183,86,C
184,User184,38,C
185,User185,68,B
186,User186,35,A
187,User187,70,A
188,User188,98,B
189,User189,100,C
190,User190,98,C
191,User191,12,A
192,User192,35,C
193,User193,76,C
194,User194,66,B
195,User195,5,C
196,User196,59,B
197,User197,57,B
198,User198,5,C
199,User199,68,A
200,User200,84,B
201,User201,81,C
202,User202,33,C
203,User203,67,C
204,User204,79,A
205,User205,58,A
206,User206,16,A
207,User207,96,C
208,User208,23,B
209,User209,21,A
210,User210,93,B
211,User211,95,B
212,User212,49,C
213,User213,99,B
214,User214,36,B
215,User215,32,C
216,User216,10,C
217,User217,51,B
218,User218,91,B
219,User219,64,A
220,User220,78,B
221,User221,88,B
222,User222,44,A
223,User223,2,A
224,User224,80,B
225,User225,86,B
226,User226,43,B
227,User227,84,C
228,User228,13,C
229,User229,14,C
230,User230,22,C
231,User231,55,A
232,User232,89,C
233,User233,46,A
234,User234,15,A
235,User235,29,B
236,User236,51,A
237,User237,14,C
238,User238,77,C
239,User239,20,B
240,User240,46,C
241,User241,73,A
242,User242,6,B
243,User243,20,C
244,User244,18,B
245,User245,61,B
246,User246,64,A
247,User247,29,B
248,User248,40,B
249,User249,77,A
250,User250,50,A
251,User251,38,A
252,User252,32,A
253,User253,7,B
254,User254,50,B
255,User255,26,C
256,User256,91,A
257,User257,95,A
258,User258,9,A
259,User259,86,B
260,User260,96,A
261,User261,8,C
262,User262,83,A
263,User263,17,C
264,User264,80,C
265,User265,71,A
266,User266,96,B
267,User267,67,B
268,User268,41,B
269,User269,78,A
270,User270,79,B
271,User271,91,B
272,User272,6,B
273,User273,69,A
274,User274,63,A
275,User275,98,A
276,User276,91,C
277,User277,90,C
278,User278,61,C
279,User279,41,B
280,User280,62,B
281,User281,92,B
282,User282,17,C
283,User283,17,C
284,User284,100,C
285,User285,97,A
286,User286,30,B
287,User287,21,B
288,User288,50,B
289,User289,91,A
290,User290,95,A
291,User291,94,C
292,User292,52,B
293,User293,50,C
294,User294,87,B
295,User295,50,B
296,User296,75,B
297,User297,23,A
298,User298,89,A
299,User299,30,B
300,User300,78,B
301,User301,89,A
302,User302,63,B
303,User303,85,C
304,User304,48,C
305,User305,32,C
306,User306,59,A
307,User307,83,B
308,User308,2,C
309,User309,10,B
310,User310,16,B
311,User311,63,C
312,User312,70,B
313,User313,48,A
314,User314,35,A
315,User315,68,C
316,User316,33,A
317,User317,97,C
318,User318,90,B
319,User319,6,B
320,User320,44,A
321,User321,52,C
322,User322,80,C
323,User323,32,C
324,User324,78,A
325,User325,62,C
326,User326,0,C
327,User327,53,C
328,User328,8,A
329,User329,94,C
330,User330,9,C
331,User331,66,A
332,User332,57,C
333,User333,22,C
334,User334,20,B
335,User335,93,A
336,User336,61,B
337,User337,85,C
338,User338,54,C
339,User339,8,C
340,User340,92,B
341,User341,55,A
342,User342,22,A
343,User343,59,C
344,User344,18,B
345,User345,19,C
346,User346,41,B
347,User347,51,C
348,User348,19,C
349,User349,7,B
350,User350,54,C
351,User351,31,A
352,User352,19,C
353,User353,7,B
354,User354,32,A
355,User355,22,A
356,User356,19,C
357,User357,27,C
358,User358,94,B
359,User359,65,B
360,User360,86,B
361,User361,94,A
362,User362,3,C
363,User363,81,C
364,User364,0,A
365,User365,49,A
366,User366,4,A
367,User367,77,A
368,User368,12,C
369,User369,45,A
370,User370,82,B
371,User371,10,A
372,User372,43,B
373,User373,16,A
374,User374,94,A
375,User375,9,B
376,User376,1,B
377,User377,24,A
378,User378,97,A
379,User379,29,A
380,User380,4,A
381,User381,30,B
382,User382,20,A
383,User383,22,B
384,User384,76,A
385,User385,54,A
386,User386,13,B
387,User387,36,A
388,User388,62,A
389,User389,89,B
390,User390,35,C
391,User391,35,B
392,User392,40,B
393,User393,30,C
394,User394,20,C
395,User395,51,C
396,User396,38,A
397,User397,76,B
398,User398,91,C
399,User399,32,C
400,User400,0,C
401,User401,7,A
402,User402,29,B
403,User403,68,C
404,User404,22,C
405,User405,100,C
406,User406,72,C
407,User407,84,C
408,User408,24,B
409,User409,35,B
410,User410,0,C
411,User411,88,A
412,User412,93,A
413,User413,55,B
414,User414,70,C
415,User415,22,A
416,User416,4,A
417,User417,15,C
418,User418,21,B
419,User419,70,A
420,User420,36,C
421,User421,77,A
422,User422,66,C
423,User423,1,A
424,User424,81,C
425,User425,78,C
426,User426,69,C
427,User427,42,B
428,User428,53,B
429,User429,20,A
430,User430,12,C
431,User431,73,B
432,User432,17,A
433,User433,93,C
434,User434,90,C
435,User435,31,A
436,User436,81,C
437,User437,38,A
438,User438,98,C
439,User439,40,B
440,User440,87,B
441,User441,40,A
442,User442,57,C
443,User443,24,A
444,User444,18,C
445,User445,97,B
446,User446,32,A
447,User447,44,B
448,User448,33,C
449,User449,60,B
450,User450,92,A
451,User451,25,A
452,User452,62,C
453,User453,48,B
454,User454,67,C
455,User455,33,C
456,User456,73,A
457,User457,69,B
458,User458,38,C
459,User459,11,C
460,User460,44,A
461,User461,67,A
462,User462,22,C
463,User463,18,B
464,User464,41,B
465,User465,64,B
466,User466,14,A
467,User467,41,A
468,User468,7,B
469,User469,77,A
470,User470,93,A
471,User471,36,B
472,User472,36,B
473,User473,79,A
474,User474,31,B
475,User475,78,A
476,User476,1,A
477,User477,36,C
478,User478,38,A
479,User479,7,A
480,User480,93,B
481,User481,53,C
482,User482,80,A
483,User483,78,C
484,User484,46,C
485,User485,59,A
486,User486,75,B
487,User487,36,C
488,User488,18,A
489,User489,34,A
490,User490,99,B
491,User491,15,A
492,User492,99,B
493,User493,17,A
494,User494,63,B
495,User495,59,B
496,User496,29,A
497,User497,95,A
498,User498,95,B
499,User499,100,B
500,User500,51,B
501,User501,61,C
502,User502,91,B
503,User503,15,C
504,User504,33,B
505,User505,54,B
506,User506,54,B
507,User507,10,C
508,User508,17,C
509,User509,5,B
510,User510,100,A
511,User511,94,B
512,User512,4,A
513,User513,53,A
514,User514,26,B
515,User515,21,B
516,User516,29,A
517,User517,33,A
518,User518,44,B
519,User519,61,A
520,User520,55,A
521,User521,10,B
522,User522,78,C
523,User523,3,B
524,User524,97,C
525,User525,90,C
526,User526,74,B
527,User527,36,A
528,User528,25,B
529,User529,93,C
530,User530,20,B
531,User531,61,B
532,User532,47,A
533,User533,43,C
534,User534,27,B
535,User535,9,A
536,User536,67,A
537,User537,49,A
538,User538,48,B
539,User539,45,A
540,User540,92,B
541,User541,56,A
542,User542,66,B
543,User543,64,C
544,User544,50,C
545,User545,11,B
546,User546,75,C
547,User547,24,B
548,User548,53,C
549,User549,46,B
550,User550,48,A
551,User551,57,B
552,User552,45,B
553,User553,2,A
554,User554,84,A
555,User555,98,C
556,User556,59,A
557,User557,37,A
558,User558,41,C
559,User559,82,C
560,User560,26,C
561,User561,47,B
562,User562,23,B
563,User563,41,C
564,User564,51,C
565,User565,76,A
566,User566,43,C
567,User567,66,A
568,User568,85,A
569,User569,16,B
570,User570,15,A
571,User571,83,B
572,User572,75,B
573,User573,84,A
574,User574,55,A
575,User575,65,A
576,User576,43,C
577,User577,95,C
578,User578,71,C
579,User579,98,B
580,User580,58,C
581,User581,10,B
582,User582,85,B
583,User583,14,A
584,User584,27,A
585,User585,82,C
586,User586,75,A
587,User587,87,C
588,User588,11,B
589,User589,44,A
590,User590,84,B
591,User591,56,C
592,User592,22,B
593,User593,15,C
594,User594,48,B
595,User595,93,C
596,User596,66,C
597,User597,83,A
598,User598,64,B
599,User599,50,B
600,User600,98,C
601,User601,65,B
602,User602,69,C
603,User603,24,A
604,User604,98,A
605,User605,73,A
606,User606,52,A
607,User607,97,B
608,User608,61,B
609,User609,13,C
610,User610,8,A
611,User611,88,C
612,User612,20,B
613,User613,73,B
614,User614,69,A
615,User615,68,C
616,User616,34,B
617,User617,80,A
618,User618,39,B
619,User619,96,B
620,User620,27,A
621,User621,1,B
622,User622,18,B
623,User623,31,A
624,User624,26,A
625,User625,15,C
626,User626,31,C
627,User627,44,A
628,User628,71,B
629,User629,3,C
630,User630,25,C
631,User631,91,B
632,User632,62,A
633,User633,0,A
634,User634,63,A
635,User635,11,B
636,User636,31,B
637,User637,12,A
638,User638,53,B
639,User639,36,C
640,User640,28,C
641,User641,37,A
642,User642,61,C
643,User643,71,B
644,User644,98,C
645,User645,65,A
646,User646,36,B
647,User647,9,B
648,User648,82,C
649,User649,81,A
650,User650,29,C
651,User651,34,A
652,User652,36,C
653,User653,78,C
654,User654,6,A
655,User655,9,B
656,User656,66,A
657,User657,27,B
658,User658,23,A
659,User659,25,C
660,User660,20,B
661,User661,65,A
662,User662,67,A
663,User663,48,A
664,User664,48,B
665,User665,18,C
666,User666,65,A
667,User667,8,A
668,User668,94,C
669,User669,36,B
670,User670,32,A
671,User671,88,A
672,User672,60,C
673,User673,70,B
674,User674,43,C
675,User675,59,B
676,User676,62,C
677,User677,58,C
678,User678,86,B
679,User679,40,B
680,User680,83,B
681,User681,0,B
682,User682,29,C
683,User683,65,A
684,User684,22,A
685,User685,16,C
686,User686,1,B
687,User687,18,C
688,User688,13,B
689,User689,75,A
690,User690,57,A
691,User691,17,B
692,User692,82,A
693,User693,69,C
694,User694,90,C
695,User695,4,A
696,User696,52,C
697,User697,56,B
698,User698,81,B
699,User699,8,A
700,User700,94,B
701,User701,4,B
702,User702,54,A
703,User703,12,A
704,User704,62,A
705,User705,29,C
706,User706,84,B
707,User707,52,B
708,User708,93,B
709,User709,24,C
710,User710,71,C
711,User711,11,B
712,User712,66,B
713,User713,81,C
714,User714,15,A
715,User715,20,C
716,User716,99,C
717,User717,31,B
718,User718,70,C
719,User719,15,C
720,User720,95,C
721,User721,36,C
722,User722,54,B
723,User723,29,B
724,User724,45,C
725,User725,32,A
726,User726,10,B
727,User727,0,B
728,User728,48,B
729,User729,38,B
730,User730,47,B
731,User731,51,B
732,User732,1,A
733,User733,62,C
734,User734,63,A
735,User735,78,C
736,User736,60,C
737,User737,31,C
738,User738,91,C
739,User739,24,B
740,User740,29,A
741,User741,19,A
742,User742,95,B
743,User743,92,B
744,User744,77,A
745,User745,59,C
746,User746,21,A
747,User747,17,A
748,User748,32,C
749,User749,82,C
750,User750,24,A
751,User751,30,C
752,User752,78,C
753,User753,24,A
754,User754,84,A
755,User755,63,A
756,User756,62,C
757,User757,92,A
758,User758,81,C
759,User759,37,A
760,User760,70,B
761,User761,64,B
762,User762,4,C
763,User763,90,A
764,User764,32,B
765,User765,32,B
766,User766,94,A
767,User767,30,B
768,User768,36,A
769,User769,67,B
770,User770,38,A
771,User771,71,B
772,User772,50,B
773,User773,39,B
774,User774,94,C
775,User775,73,B
776,User776,14,C
777,User777,28,C
778,User778,47,C
779,User779,58,B
780,User780,93,A
781,User781,66,A
782,User782,41,A
783,User783,85,B
784,User784,82,C
785,User785,93,A
786,User786,97,A
787,User787,67,B
788,User788,91,C
789,User789,41,B
790,User790,81,A
791,User791,88,A
792,User792,13,B
793,User793,70,B
794,User794,88,A
795,User795,93,A
796,User796,84,A
797,User797,34,C
798,User798,26,B
799,User799,59,C
800,User800,37,A
801,User801,47,A
802,User802,61,A
803,User803,24,A
804,User804,9,A
805,User805,29,A
806,User806,89,A
807,User807,33,B
808,User808,19,B
809,User809,75,B
810,User810,75,B
811,User811,20,B
812,User812,60,C
813,User813,8,A
814,User814,62,A
815,User815,88,B
816,User816,100,A
817,User817,31,C
818,User818,41,C
819,User819,19,A
820,User820,65,B
821,User821,76,C
822,User822,72,B
823,User823,37,C
824,User824,33,A
825,User825,0,B
826,User826,70,C
827,User827,47,C
828,User828,57,A
829,User829,57,C
830,User830,64,A
831,User831,90,A
832,User832,56,B
833,User833,56,B
834,User834,46,B
835,User835,1,B
836,User836,100,C
837,User837,14,A
838,User838,88,B
839,User839,44,C
840,User840,3,A
841,User841,94,B
842,User842,90,C
843,User843,82,A
844,User844,92,B
845,User845,10,C
846,User846,3,B
847,User847,47,B
848,User848,92,C
849,User849,57,C
850,User850,36,C
851,User851,34,C
852,User852,62,C
853,User853,40,A
854,User854,9,C
855,User855,2,C
856,User856,32,B
857,User857,74,B
858,User858,92,A
859,User859,55,A
860,User860,38,B
861,User861,43,A
862,User862,4,A
863,User863,38,A
864,User864,43,C
865,User865,98,B
866,User866,18,A
867,User867,25,A
868,User868,96,A
869,User869,17,B
870,User870,33,A
871,User871,67,C
872,User872,34,C
873,User873,88,C
874,User874,38,B
875,User875,57,B
876,User876,58,C
877,User877,33,B
878,User878,9,C
879,User879,22,A
880,User880,66,C
881,User881,34,B
882,User882,38,A
883,User883,98,C
884,User884,88,B
885,User885,44,C
886,User886,2,C
887,User887,14,B
888,User888,26,C
889,User889,50,A
890,User890,22,C
891,User891,39,A
892,User892,40,A
893,User893,93,C
894,User894,85,C
895,User895,81,A
896,User896,16,C
897,User897,23,B
898,User898,16,C
899,User899,13,B
900,User900,21,B
901,User901,56,C
902,User902,87,C
903,User903,36,A
904,User904,1,B
905,User905,2,A
906,User906,95,A
907,User907,53,C
908,User908,32,B
909,User909,57,B
910,User910,68,C
911,User911,67,B
912,User912,65,C
913,User913,57,B
914,User914,60,B
915,User915,58,A
916,User916,51,B
917,User917,50,A
918,User918,87,C
919,User919,58,B
920,User920,47,B
921,User921,60,A
922,User922,36,C
923,User923,75,C
924,User924,39,A
925,User925,76,A
926,User926,85,A
927,User927,24,B
928,User928,79,B
929,User929,94,C
930,User930,42,B
931,User931,37,C
932,User932,57,B
933,User933,79,A
934,User934,15,A
935,User935,67,B
936,User936,8,A
937,User937,8,B
938,User938,89,C
939,User939,8,A
940,User940,60,C
941,User941,92,C
942,User942,48,B
943,User943,98,C
944,User944,15,B
945,User945,31,B
946,User946,0,B
947,User947,94,B
948,User948,95,C
949,User949,88,B
950,User950,81,C
951,User951,44,A
952,User952,86,C
953,User953,6,C
954,User954,93,B
955,User955,3,C
956,User956,21,B
957,User957,49,A
958,User958,14,C
959,User959,38,C
960,User960,6,A
961,User961,78,A
962,User962,88,C
963,User963,4,B
964,User964,6,A
965,User965,53,A
966,User966,75,A
967,User967,7,C
968,User968,13,A
969,User969,73,A
970,User970,3,A
971,User971,94,A
972,User972,38,C
973,User973,10,C
974,User974,64,C
975,User975,5,A
976,User976,77,B
977,User977,59,A
978,User978,16,B
979,User979,40,C
980,User980,40,B
981,User981,15,B
982,User982,74,C
983,User983,87,A
984,User984,28,A
985,User985,30,B
986,User986,45,C
987,User987,31,B
988,User988,84,A
989,User989,80,A
990,User990,58,B
991,User991,7,B
992,User992,6,B
993,User993,45,A
994,User994,53,B
995,User995,46,B
996,User996,32,A
997,User997,79,A
998,User998,48,A
999,User999,38,B
1000,User1000,81,B
1001,User1001,100,B
1002,User1002,54,C
1003,User1003,43,B
1004,User1004,86,B
1005,User1005,66,B
1006,User1006,4,C
1007,User1007,0,A
1008,User1008,41,C
1009,User1009,67,C
1010,User1010,74,A
1011,User1011,19,B
1012,User1012,36,B
1013,User1013,47,B
1014,User1014,62,B
1015,User1015,85,A
1016,User1016,42,C
1017,User1017,15,A
1018,User1018,61,B
1019,User1019,26,B
1020,User1020,91,B
1021,User1021,40,C
1022,User1022,24,B
1023,User1023,94,C
1024,User1024,39,B
1025,User1025,48,A
1026,User1026,93,B
1027,User1027,37,A
1028,User1028,8,B
1029,User1029,10,C
1030,User1030,34,B
1031,User1031,65,A
1032,User1032,4,A
1033,User1033,45,C
1034,User1034,72,B
1035,User1035,95,A
1036,User1036,51,C
1037,User1037,57,A
1038,User1038,65,C
1039,User1039,78,C
1040,User1040,36,B
1041,User1041,90,A
1042,User1042,14,B
1043,User1043,34,C
1044,User1044,90,B
1045,User1045,69,C
1046,User1046,59,C
1047,User1047,55,C
1048,User1048,28,C
1049,User1049,39,A
1050,User1050,47,A
1051,User1051,50,B
1052,User1052,6,C
1053,User1053,100,B
1054,User1054,66,A
1055,User1055,27,B
1056,User1056,81,A
1057,User1057,18,C
1058,User1058,57,C
1059,User1059,41,B
1060,User1060,24,A
1061,User1061,29,C
1062,User1062,49,C
1063,User1063,97,A
1064,User1064,21,B
1065,User1065,63,A
1066,User1066,3,C
1067,User1067,82,B
1068,User1068,10,A
1069,User1069,81,C
1070,User1070,10,C
1071,User1071,71,C
1072,User1072,62,A
1073,User1073,91,B
1074,User1074,77,A
1075,User1075,94,B
1076,User1076,88,A
1077,User1077,43,A
1078,User1078,100,C
1079,User1079,73,C
1080,User1080,69,C
1081,User1081,36,C
1082,User1082,65,A
1083,User1083,92,B
1084,User1084,70,C
1085,User1085,95,A
1086,User1086,76,A
1087,User1087,62,C
1088,User1088,6,C
1089,User1089,14,C
1090,User1090,51,B
1091,User1091,78,C
1092,User1092,59,B
1093,User1093,64,C
1094,User1094,13,C
1095,User1095,54,B
1096,User1096,44,B
1097,User1097,43,B
1098,User1098,29,B
1099,User1099,40,B
1100,User1100,11,A
1101,User1101,39,A
1102,User1102,34,C
1103,User1103,90,A
1104,User1104,58,A
1105,User1105,51,A
1106,User1106,40,B
1107,User1107,9,A
1108,User1108,36,C
1109,User1109,97,C
1110,User1110,46,B
1111,User1111,66,C
1112,User1112,30,B
1113,User1113,84,C
1114,User1114,11,A
1115,User1115,58,A
1116,User1116,16,C
1117,User1117,82,C
1118,User1118,46,C
1119,User1119,27,B
1120,User1120,16,C
1121,User1121,32,B
1122,User1122,68,A
1123,User1123,81,B
1124,User1124,0,A
1125,User1125,22,A
1126,User1126,72,A
1127,User1127,43,A
1128,User1128,50,C
1129,User1129,21,B
1130,User1130,98,A
1131,User1131,52,A
1132,User1132,45,A
1133,User1133,56,A
1134,User1134,54,A
1135,User1135,31,C
1136,User1136,67,B
1137,User1137,66,B
1138,User1138,17,C
1139,User1139,46,B
1140,User1140,44,C
1141,User1141,57,A
1142,User1142,50,A
1143,User1143,46,A
1144,User1144,24,A
1145,User1145,47,B
1146,User1146,73,B
1147,User1147,78,A
1148,User1148,92,B
1149,User1149,67,A
1150,User1150,13,A
1151,User1151,5,B
1152,User1152,85,C
1153,User1153,30,C
1154,User1154,16,C
1155,User1155,35,B
1156,User1156,47,C
1157,User1157,48,B
1158,User1158,13,B
1159,User1159,99,A
1160,User1160,33,B
1161,User1161,8,A
1162,User1162,55,C
1163,User1163,7,C
1164,User1164,27,B
1165,User1165,16,C
1166,User1166,26,A
1167,User1167,49,C
1168,User1168,93,B
1169,User1169,50,C
1170,User1170,68,B
1171,User1171,49,C
1172,User1172,78,C
1173,User1173,62,C
1174,User1174,29,B
1175,User1175,22,B
1176,User1176,84,C
1177,User1177,70,C
1178,User1178,54,B
1179,User1179,91,B
1180,User1180,9,C
1181,User1181,75,A
1182,User1182,75,B
1183,User1183,9,A
1184,User1184,72,C
1185,User1185,35,A
1186,User1186,20,B
1187,User1187,95,C
1188,User1188,52,C
1189,User1189,50,B
1190,User1190,3,B
1191,User1191,19,B
1192,User1192,70,B
1193,User1193,59,A
1194,User1194,84,C
1195,User1195,17,C
1196,User1196,90,B
1197,User1197,65,C
1198,User1198,35,A
1199,User1199,3,A
1200,User1200,72,A
1201,User1201,47,C
1202,User1202,98,A
1203,User1203,77,C
1204,User1204,74,A
1205,User1205,35,A
1206,User1206,92,B
1207,User1207,33,C
1208,User1208,1,A
1209,User1209,93,B
1210,User1210,16,B
1211,User1211,23,B
1212,User1212,97,B
1213,User1213,42,B
1214,User1214,0,C
1215,User1215,52,A
1216,User1216,78,B
1217,User1217,43,C
1218,User1218,56,A
1219,User1219,55,B
1220,User1220,89,C
1221,User1221,79,B
1222,User1222,55,C
1223,User1223,35,A
1224,User1224,29,A
1225,User1225,49,C
1226,User1226,16,A
1227,User1227,22,C
1228,User1228,19,A
1229,User1229,96,B
1230,User1230,32,B
1231,User1231,5,A
1232,User1232,63,B
1233,User1233,89,C
1234,User1234,21,B
1235,User1235,78,C
1236,User1236,28,A
1237,User1237,48,A
1238,User1238,87,A
1239,User1239,59,B
1240,User1240,31,A
1241,User1241,3,B
1242,User1242,79,C
1243,User1243,88,A
1244,User1244,99,B
1245,User1245,87,A
1246,User1246,74,C
1247,User1247,15,C
1248,User1248,28,A
1249,User1249,25,C
1250,User1250,8,B
1251,User1251,47,B
1252,User1252,34,A
1253,User1253,26,A
1254,User1254,2,B
1255,User1255,7,C
1256,User1256,46,C
1257,User1257,98,B
1258,User1258,57,C
1259,User1259,1,B
1260,User1260,37,B
1261,User1261,79,B
1262,User1262,98,B
1263,User1263,7,B
1264,User1264,97,C
1265,User1265,96,B
1266,User1266,100,C
1267,User1267,46,A
1268,User1268,88,A
1269,User1269,57,B
1270,User1270,30,A
1271,User1271,26,B
1272,User1272,10,C
1273,User1273,59,C
1274,User1274,10,C
1275,User1275,65,A
1276,User1276,88,B
1277,User1277,23,C
1278,User1278,10,B
1279,User1279,41,A
1280,User1280,2,B
1281,User1281,77,A
1282,User1282,60,A
1283,User1283,50,B
1284,User1284,81,C
1285,User1285,86,B
1286,User1286,64,A
1287,User1287,72,C
1288,User1288,83,C
1289,User1289,31,C
1290,User1290,58,C
1291,User1291,21,C
1292,User1292,60,B
1293,User1293,97,B
1294,User1294,41,C
1295,User1295,80,C
1296,User1296,17,B
1297,User1297,47,C
1298,User1298,83,B
1299,User1299,57,B
1300,User1300,15,A
1301,User1301,84,B
1302,User1302,75,B
1303,User1303,29,A
1304,User1304,55,C
1305,User1305,58,C
1306,User1306,33,A
1307,User1307,27,B
1308,User1308,85,B
1309,User1309,96,B
1310,User1310,48,B
1311,User1311,99,C
1312,User1312,96,B
1313,User1313,71,C
1314,User1314,67,B
1315,User1315,65,A
1316,User1316,50,A
1317,User1317,25,B
1318,User1318,35,C
1319,User1319,50,C
1320,User1320,96,C
1321,User1321,36,A
1322,User1322,84,C
1323,User1323,54,A
1324,User1324,17,C
1325,User1325,13,C
1326,User1326,54,B
1327,User1327,96,B
1328,User1328,4,C
1329,User1329,14,B
1330,User1330,43,A
1331,User1331,98,A
1332,User1332,46,B
1333,User1333,49,A
1334,User1334,89,C
1335,User1335,78,A
1336,User1336,19,B
1337,User1337,70,B
1338,User1338,96,B
1339,User1339,31,B
1340,User1340,30,A
1341,User1341,5,A
1342,User1342,73,A
1343,User1343,56,C
1344,User1344,18,A
1345,User1345,8,A
1346,User1346,68,A
1347,User1347,12,A
1348,User1348,37,C
1349,User1349,53,B
1350,User1350,36,C
1351,User1351,7,A
1352,User1352,88,C
1353,User1353,95,B
1354,User1354,75,A
1355,User1355,59,C
1356,User1356,63,A
1357,User1357,43,B
1358,User1358,47,C
1359,User1359,82,A
1360,User1360,24,A
1361,User1361,23,C
1362,User1362,92,B
1363,User1363,16,B
1364,User1364,10,A
1365,User1365,19,C
1366,User1366,10,A
1367,User1367,83,A
1368,User1368,46,A
1369,User1369,22,B
1370,User1370,83,A
1371,User1371,70,A
1372,User1372,1,C
1373,User1373,67,C
1374,User1374,34,B
1375,User1375,36,B
1376,User1376,57,A
1377,User1377,34,A
1378,User1378,17,B
1379,User1379,99,A
1380,User1380,28,B
1381,User1381,0,B
1382,User1382,67,A
1383,User1383,73,C
1384,User1384,94,B
1385,User1385,7,B
1386,User1386,56,A
1387,User1387,89,C
1388,User1388,82,A
1389,User1389,50,B
1390,User1390,52,A
1391,User1391,59,B
1392,User1392,71,C
1393,User1393,51,A
1394,User1394,67,B
1395,User1395,25,B
1396,User1396,55,B
1397,User1397,86,A
1398,User1398,29,C
1399,User1399,55,B
1400,User1400,66,A
1401,User1401,10,A
1402,User1402,77,A
1403,User1403,1,B
1404,User1404,22,B
1405,User1405,29,A
1406,User1406,33,C
1407,User1407,90,A
1408,User1408,32,B
1409,User1409,87,B
1410,User1410,72,A
1411,User1411,59,B
1412,User1412,53,B
1413,User1413,18,B
1414,User1414,88,B
1415,User1415,6,B
1416,User1416,64,A
1417,User1417,23,B
1418,User1418,71,C
1419,User1419,53,C
1420,User1420,4,C
1421,User1421,90,C
1422,User1422,41,B
1423,User1423,8,C
1424,User1424,54,B
1425,User1425,24,C
1426,User1426,95,B
1427,User1427,67,C
1428,User1428,27,B
1429,User1429,25,B
1430,User1430,11,C
1431,User1431,33,A
1432,User1432,82,A
1433,User1433,48,C
1434,User1434,53,B
1435,User1435,57,B
1436,User1436,45,B
1437,User1437,88,B
1438,User1438,15,B
1439,User1439,35,B
1440,User1440,17,C
1441,User1441,99,B
1442,User1442,100,B
1443,User1443,73,A
1444,User1444,80,A
1445,User1445,66,C
1446,User1446,22,C
1447,User1447,61,C
1448,User1448,33,C
1449,User1449,77,B
1450,User1450,85,C
1451,User1451,40,C
1452,User1452,4,C
